Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
050090,SONOMA,CA,"$15,541","$17,658","$20,029",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
171368,CLARK,KS,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
030130,PINAL,AZ,"$21,758","$24,121","$26,598",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
450119,HIDALGO,TX,"$16,160","$17,000","$17,866",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
440228,SHELBY,TN,"$20,588","$21,785","$23,089",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
331313,SCHUYLER,NY,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
220070,MIDDLESEX,MA,"$21,807","$23,646","$25,510",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
360234,HAMILTON,OH,"$21,764","$24,056","$26,652",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
010056,JEFFERSON,AL,"$15,805","$16,878","$18,049",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
180095,CRITTENDEN,KY,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
281304,THAYER,NE,"$17,459","$19,505","$21,797",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
450677,JOHNSON,TX,"$25,492","$27,286","$29,320",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
420057,DARLINGTON,SC,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
061323,PROWERS,CO,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
140179,COOK,IL,"$22,840","$24,240","$25,763",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
271325,LAKE,MT,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
161341,LUCAS,IA,"$12,875","$15,019","$17,599",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
451386,MOORE,TX,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
490089,FRANKLIN,VA,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
040041,POPE,AR,"$15,179","$16,525","$18,052",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
061325,RIO BLANCO,CO,"$13,389","$16,048","$18,779",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
390160,WASHINGTON,PA,"$16,240","$18,045","$19,801",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
250168,GRENADA,MS,"$20,548","$23,554","$27,060",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050243,RIVERSIDE,CA,"$18,981","$19,962","$20,951",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
